UID,actual_time
XMsT9clviB,47.88970588
1iUuyRUZ2Y,62.58823529
wancwiAIU3,11.80147059
1tIt8EwJjB,65.88970588
W2vL6bJrjt,30.53676471
g5lrjWo6eK,67.01470588
KE7F74SjT0,123.3676471
HMGVlnqxnY,33.33823529
J9qBsamv10,26.30147059
cgjTf3B8md,61.00735294
d0O067s0VM,73.17647059
fkYwbWLGof,148.8161765
c27awWRU4L,159.3897059
NrbQdnHDdv,200.2352941
5OWkfJicqN,277.25
t5KaQWVzgY,294.875
oTpin2GoCI,305.8088235
SiOQqnd02T,488.375
4HNqanStsV,434.8602941
pfzXsB0Vfb,474.3897059
mHDR4dqCai,630.7426471
AEdjvXvPxH,48.51470588
7ACCY4vQKH,31.22058824
XQH7pfzey6,49.14705882
xckTmnHibJ,26.57352941
VKvYjz87PE,44.21323529
sY7WPKEFt1,73.36764706
orN6nbUDnL,12.09558824
NjfUZiMrD3,30.22794118
2u6v1laHAC,62.33823529
a0G8dxTh6A,85.08088235
oQKLWwnCAt,48.57352941
1oU9Boz38k,33.52205882
UHynQjEZJ6,72.56617647
bGuY902WaQ,28.19117647
g6jG8f6vJ5,115.1764706
ohDWi7NicP,139.5955882
3qnSz3HcbV,59.08823529
yhyIQIPvRg,33.04411765
wTflQSTDrY,32.16911765
4o756xnLFW,67.94117647
7AcTaIrvRN,68.53676471
4R7GJkVOV4,25.61029412
1NSvjFG66S,26.69852941
mngPCdAKTZ,58.17647059
tL35AunIst,84.625
7KLS21OYs7,108.3382353
BhwwTVtcju,21.23529412
6gKXQ8aVmI,50.375
PPWtAmmZub,103
JZboFYczS5,70.97794118
sLw3rGYvEK,128.8014706
Y0G98lStUf,235.4338235
S318wlr8um,149.75
7njmotIHXN,14.59558824
3eFQKO2xXz,38.89705882
M8mrWmE2fH,52.28676471
jx8yNy5eCL,131.8455882
tauMZLehcO,128.3676471
nkxbQMu3c7,161.0588235
V8Luw6h4Y2,254.7132353
q6UvbBWQSj,273.1029412
atAXPtKZx2,303.875
S7TxSYmnM2,350.9558824
dUHNN8AjPA,460.8235294
EKUkZTddNw,597.3088235
2KVESsI95d,617.125
PStWJhmXah,667.9264706
FUU0I9dybs,714.1691176
3SVJwGgcXs,725.0661765
8IlrsEwqyN,763.6838235
W1GSCBAn1T,28.63235294
cSTFwdY7Lg,86.97794118
05dUlPBeL6,55.36764706
JkfSebICrm,69.02941176
cIuHyuUBoO,29.86764706
kkWyrQlxzM,112.0808824
RDlcgifQM6,139.6470588
PPOE3KmlMJ,181.1397059
k1xAiilyWQ,325.2867647
gxZSD6qzhk,31.77205882
sCdKXKcSzG,29.55882353
7pg4Nqatfp,51.625
gq8lB0TtVA,84.05147059
4xCK9Enjig,40.45588235
Fw7qTNEIyl,60.375
DFqMY2qKUJ,126.5073529
ROsHZdRsoj,304.3308824
5DXYqxsfc6,339.2647059
ru8sNenOyZ,416.4852941
oXSHs0HnWD,478.8235294
2miEM5Mioz,511.8161765
w88FFtGVO5,48.81617647
hdbgV4kSBf,26.875
DOh5KsCvIz,39.52205882
tQF9bv2wS7,177.0735294
0objSkFDYP,192.8455882
GwN5S9XpCB,256.4191176
qiXIbth3tY,268.0367647
nEJ9msd5cY,459.1397059
TuXkI5Yb6B,31.46323529
9knAm6WtXJ,10.25
0ihmYmeWAI,42.15441176
FFkPTUhZtL,17.29411765
cif16pK6qH,30.16911765
ad8rOYnAIk,52.05882353
mTQPsKmbkM,99.51470588
fkzTNtAwPy,121.4632353
84ZUX7Zp76,37.58823529
WC2RzAU4tk,71.69117647
q5v7z5JVqg,91.70588235
XWeiQdHHNn,35.46323529
knMjKFTNBV,66.71323529
